         458952 function calls (450927 primitive calls) in 0.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      277    0.095    0.000    0.095    0.000 {built-in method marshal.loads}
    49/47    0.066    0.001    0.070    0.001 {built-in method _imp.create_dynamic}
      317    0.027    0.000    0.027    0.000 {built-in method builtins.compile}
     2472    0.025    0.000    0.043    0.000 inspect.py:613(cleandoc)
1147/1053    0.023    0.000    0.074    0.000 {built-in method builtins.__build_class__}
       16    0.016    0.001    0.019    0.001 rcsetup.py:781(cycler)
     1389    0.011    0.000    0.011    0.000 {built-in method posix.stat}
  464/189    0.010    0.000    0.026    0.000 sre_parse.py:475(_parse)
      277    0.009    0.000    0.009    0.000 {method 'read' of '_io.FileIO' objects}
      600    0.006    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    32806    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
62734/61759    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      704    0.006    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      277    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      638    0.005    0.000    0.015    0.000 inspect.py:2117(_signature_from_function)
  929/180    0.005    0.000    0.012    0.000 sre_compile.py:71(_compile)
    21047    0.005    0.000    0.005    0.000 {built-in method builtins.min}
    12049    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
    628/1    0.005    0.000    0.628    0.628 {built-in method builtins.exec}
     6369    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     5752    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
      588    0.004    0.000    0.019    0.000 inspect.py:1089(getfullargspec)
    28551    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
     2498    0.004    0.000    0.054    0.000 re.py:271(_compile)
7096/7092    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
    20192    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
       27    0.003    0.000    0.035    0.001 __init__.py:908(_rc_params_in_file)
      277    0.003    0.000    0.122    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       12    0.003    0.000    0.033    0.003 artist.py:1277(_get_setters_and_targets)
      347    0.003    0.000    0.037    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      627    0.003    0.000    0.005    0.000 functools.py:37(update_wrapper)
     6203    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     1953    0.003    0.000    0.006    0.000 inspect.py:2467(__init__)
    21643    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
 1113/371    0.003    0.000    0.003    0.000 sre_parse.py:174(getwidth)
     3120    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
